[ 2026-01-02 03:25:22,759 ] 20 root - INFO - Initiate the data ingestion
[ 2026-01-02 03:25:31,020 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-01-02 03:25:31,020 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-02 03:25:31,026 ] 76 root - INFO - Exporting train and test file path.
[ 2026-01-02 03:25:31,144 ] 85 root - INFO - Exported train and test file path.
[ 2026-01-02 03:25:31,145 ] 22 root - INFO - Data Initiation Completed
[ 2026-01-02 03:25:31,153 ] 27 root - INFO - Initiate the data Validation
[ 2026-01-02 03:25:31,255 ] 32 root - INFO - Required number of columns:2
[ 2026-01-02 03:25:31,255 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-02 03:25:31,255 ] 32 root - INFO - Required number of columns:2
[ 2026-01-02 03:25:31,256 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-02 03:25:31,489 ] 29 root - INFO - data Validation Completed
[ 2026-01-02 03:25:31,489 ] 33 root - INFO - data Transformation started
[ 2026-01-02 03:25:31,489 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-02 03:25:31,490 ] 65 root - INFO - Starting data transformation
[ 2026-01-02 03:25:31,540 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-02 03:25:31,540 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-02 03:25:31,556 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-02 03:25:31,560 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-02 03:25:31,560 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-02 03:25:31,563 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-02 03:25:31,565 ] 37 root - INFO - data Transformation completed
